,Year,Province,Average Pop,Average Pop (Male),Average Pop (Female),Average Pop (Urban),Average Pop (Rural),Population Density,Sex Ratio,Ageging Index,Fertility Rate,Crude Birth Rate,Life Expectency
1268,2015,Dak Nong,580.5,300.4,280.1,87.6,492.9,90.0,107.2,,2.36,17.7,
1269,2016,Dak Nong,594.4,307.1,287.3,89.5,504.9,93.0,106.9,21.6,2.28,17.1,
1270,2017,Dak Nong,604.9,312.3,292.6,91.6,513.3,96.0,106.7,20.2,2.21,15.9,
1271,2018,Dak Nong,615.4,317.4,298,93.7,521.7,99.0,106.5,22.3,3.05,21,
1272,2019,Dak Nong,625.8,322.5,303.3,95.4,530.4,96.0,106.34,19.8,2.68,20,
1273,2020,Dak Nong,637.91,326.71,311.2,97.49,540.42,98.0,104.98,20.9,2.61,19.55,
1274,1995,Lam Dong,856.3,432.2,424.1,307.6,548.7,,,,,,
1275,1996,Lam Dong,891.4,450,441.4,339.2,552.2,,,,,,
1276,1997,Lam Dong,927.9,468.4,459.5,358.7,569.2,,,,,,
1277,1998,Lam Dong,966.3,488,478.3,372.1,594.2,,,,,,
1278,1999,Lam Dong,1004.6,507,497.6,389.6,615,,,,,,
1279,2000,Lam Dong,1031.1,520.1,511,397.5,633.6,,,,,,
1280,2001,Lam Dong,1050.7,530,520.7,404.2,646.5,,,,,,
1281,2002,Lam Dong,1067.7,538.6,529.1,409.9,657.8,,,,,,
1282,2003,Lam Dong,1085,542.8,542.2,415.8,669.2,,,,,,
1283,2004,Lam Dong,1104.4,552.4,552.0,422.3,682.1,,,,,,
1284,2005,Lam Dong,1125.5,563.0,562.5,429.6,695.9,,100.1,,2.67,21.8,
1285,2006,Lam Dong,1145.1,572.8,572.3,436.2,708.9,,,,,,
1286,2007,Lam Dong,1160.5,580.5,580.0,441.2,719.3,,100.1,,2.37,18.7,
1287,2008,Lam Dong,1175.4,589.1,586.3,446,729.4,,100.5,,2.31,18.1,
1288,2009,Lam Dong,1189.3,597.3,592,450.4,738.9,,100.9,,2.43,20.3,
1289,2010,Lam Dong,1203.49,604.62,598.88,457.35,746.14,,100.96,,2.28,18.3,
1290,2011,Lam Dong,1217.24,611.69,605.55,464.19,753.05,124.69,101.01,,2.32,18.5,
1291,2012,Lam Dong,1228.71,617.63,611.08,470.2,758.51,126.06,101.07,,2.36,18,
1292,2013,Lam Dong,1239.86,623.41,616.46,476.12,763.74,127.42,101.13,,2.24,17.2,
1293,2014,Lam Dong,1251.07,629.21,621.85,487.29,763.78,129.0,101.18,,2.09,16.2,
1294,2015,Lam Dong,1261.4,634.6,626.8,491.4,769.9,130.0,101.2,,1.98,14.4,
1295,2016,Lam Dong,1271.3,639.8,631.6,495.4,775.9,132.0,101.3,35.0,2.34,16.9,
1296,2017,Lam Dong,1281.3,645,636.4,499.6,781.7,133.0,101.4,40.2,2.29,16.6,
1297,2018,Lam Dong,1291.4,650.2,641.2,504.6,786.8,134.0,101.4,43.3,1.99,14.6,
1298,2019,Lam Dong,1299.3,654.3,645,509,790.3,133.0,101.44,35.9,2.2,16.7,
1299,2020,Lam Dong,1309.79,659.56,650.23,514.21,795.59,134.0,101.43,34.2,2.19,16.65,
1300,1995,South East,9276.3,4520.2,4756.1,4548.9,4727.4,,,,,,
1301,1996,South East,9494.5,4634.6,4859.9,4692,4802.5,,,,,,
1302,1997,South East,9715.4,4755.1,4960.3,5284,4431.4,,,,,,
1303,1998,South East,9954.1,4876,5078.1,5424.1,4530,,,,,,
1304,1999,South East,10218.8,5005.5,5213.3,5667,4551.8,,,,,,
1305,2000,South East,10604.5,5188.4,5416.1,5834.5,4770,,,,,,
1306,2001,South East,10955.6,5362,5593.6,6001.6,4954,,,,,,
1307,2002,South East,11282.1,5522.6,5759.5,6143.4,5138.7,,,,,,
1308,2003,South East,11629.9,5674.2,5955.7,6322.1,5307.8,,,,,,
1309,2004,South East,11990.7,5854.7,6136.0,6605.7,5385.0,,,,,,
1310,2005,South East,12380.6,6045.2,6335.4,6923.1,5457.5,,95.4,,1.85,17.3,75
1311,2006,South East,12822.8,6275.8,6547.0,7263.0,5559.8,,,,,,
1312,2007,South East,13266.4,6488.0,6778.4,7553.2,5713.2,,95.7,,1.74,16.3,
1313,2008,South East,13683.6,6691.9,6991.7,7826.2,5857.4,,95.7,,1.73,16,
1314,2009,South East,14149,6895.2,7253.8,8114,6035,,95.1,,1.69,17.8,75.3
1315,2010,South East,14578.89,7114.69,7464.2,8390.35,6188.54,,95.32,,1.68,16.9,75.5
1316,2011,South East,15005.55,7333.32,7672.23,9151.84,5853.71,627.16,95.58,,1.59,15.5,75.6
1317,2012,South East,15371.24,7522.85,7848.39,9367.6,6003.63,641.18,95.85,,1.57,15.4,75.7
1318,2013,South East,15730.65,7709.95,8020.7,9583.53,6147.12,655.31,96.13,,1.83,17.6,75.7
1319,2014,South East,16093.51,7899.68,8193.83,10067.13,6026.38,669.0,96.41,,1.56,15.4,75.9
1320,2015,South East,16448.5,8086.2,8362.3,10279.6,6168.9,684.0,96.7,,1.63,15.1,76.0
1321,2016,South East,16789.2,8266.5,8522.7,10473.4,6315.9,697.0,97.0,,1.46,13.5,76.0
1322,2017,South East,17132.6,8448.7,8683.9,10679.9,6452.7,711.0,97.3,,1.55,13.4,76.1
1323,2018,South East,17527.4,8657.1,8870.3,11018.9,6508.5,725.0,97.6,,1.5,12.8,76.2
1324,2019,South East,17930.3,8870.4,9059.8,11617.6,6312.7,761.0,97.91,,1.56,15.2,75.7
1325,2020,South East,18342.89,9106.79,9236.1,12272.67,6070.22,779.0,98.6,,1.62,15.14,76.2
1326,1995,Binh Phuoc,533.2,259.7,273.5,80.9,452.3,,,,,,
1327,1996,Binh Phuoc,551.4,273.7,277.7,84.1,467.3,,,,,,
1328,1997,Binh Phuoc,572.6,289.2,283.4,88.6,484,,,,,,
1329,1998,Binh Phuoc,608.1,313.2,294.9,92.1,516,,,,,,
1330,1999,Binh Phuoc,652.3,336.6,315.7,103.6,548.7,,,,,,
1331,2000,Binh Phuoc,682.9,348,334.9,106,576.9,,,,,,
1332,2001,Binh Phuoc,707.9,360.8,347.1,111,596.9,,,,,,
1333,2002,Binh Phuoc,732.6,373.3,359.3,116,616.6,,,,,,
1334,2003,Binh Phuoc,754.6,383,371.6,121,633.6,,,,,,
1335,2004,Binh Phuoc,777.4,395.6,381.8,125.0,652.4,,,,,,
1336,2005,Binh Phuoc,799.6,406.0,393.6,129.8,669.8,,103.2,,2.61,21.8,
1337,2006,Binh Phuoc,819.0,417.0,402.0,134.1,684.9,,,,,,
1338,2007,Binh Phuoc,838.3,427.0,411.3,138.4,699.9,,103.8,,2.47,20.4,
1339,2008,Binh Phuoc,858,436,422,142.8,715.2,,103.3,,2.38,19.8,
1340,2009,Binh Phuoc,875,444.3,430.7,146.8,728.2,,103.2,,2.45,21.4,
1341,2010,Binh Phuoc,885.13,449.12,436.02,153.9,731.23,,103.0,,2.43,21.3,
1342,2011,Binh Phuoc,899.57,456.11,443.46,162.04,737.52,130.58,102.85,,2.31,20.1,
1343,2012,Binh Phuoc,911.35,461.75,449.61,170.08,741.27,132.27,102.7,,2.22,19,
1344,2013,Binh Phuoc,923.49,467.56,455.93,178.55,744.94,133.99,102.55,,2.43,19.9,
1345,2014,Binh Phuoc,934.37,472.72,461.64,187.16,747.2,136.0,102.4,,2.3,19.1,
1346,2015,Binh Phuoc,947.2,478.9,468.3,196.6,750.6,137.0,102.2,,2.05,15.7,
1347,2016,Binh Phuoc,962.7,486.3,476.3,207,755.7,139.0,102.1,30.4,1.92,15.2,
1348,2017,Binh Phuoc,972.6,491,481.6,216.6,755.9,141.0,102.0,32.8,2.02,15.5,
1349,2018,Binh Phuoc,984.9,496.9,488.1,227.3,757.6,142.0,101.8,38.2,1.99,15.3,
1350,2019,Binh Phuoc,997.8,503,494.8,238.5,759.2,145.0,101.65,32.2,2.27,17.6,
1351,2020,Binh Phuoc,1011.08,509.65,501.43,243.05,768.03,147.0,101.64,37.5,2.25,17.49,
1352,1995,Tay Ninh,910,446.2,463.8,107.1,802.9,,,,,,
1353,1996,Tay Ninh,924.1,453.5,470.6,110.8,813.3,,,,,,
1354,1997,Tay Ninh,938.8,460.9,477.9,116.7,822.1,,,,,,
1355,1998,Tay Ninh,953.7,468.7,485,120.7,833,,,,,,
1356,1999,Tay Ninh,968,475.6,492.4,126,842,,,,,,
1357,2000,Tay Ninh,983.3,482.9,500.4,136,847.3,,,,,,
1358,2001,Tay Ninh,996.5,489.4,507.1,140,856.5,,,,,,
1359,2002,Tay Ninh,1007.2,494.6,512.6,143,864.2,,,,,,
1360,2003,Tay Ninh,1017.9,499.6,518.3,147,870.9,,,,,,
1361,2004,Tay Ninh,1029.2,506.5,522.7,151.0,878.2,,,,,,
1362,2005,Tay Ninh,1038.2,509.0,529.2,154.5,883.7,,96.2,,1.98,17.4,
1363,2006,Tay Ninh,1046.4,515.0,531.4,158.0,888.4,,,,,,
1364,2007,Tay Ninh,1053.0,518.0,535.0,161.4,891.6,,96.8,,1.89,16.8,
1365,2008,Tay Ninh,1060.5,525,535.5,165,895.5,,98.0,,1.79,15.1,
1366,2009,Tay Ninh,1067.2,531,536.2,166.3,900.9,,99.0,,1.79,15.8,
1367,2010,Tay Ninh,1076.49,535.84,540.65,170,906.48,,99.11,,1.77,16.1,
1368,2011,Tay Ninh,1090.06,542.83,547.23,174.43,915.63,267.84,99.2,,1.8,16.2,
1369,2012,Tay Ninh,1103.41,549.72,553.69,178.9,924.51,269.75,99.28,,1.93,16.1,
1370,2013,Tay Ninh,1111.4,553.94,557.46,182.58,928.81,272.01,99.37,,1.78,14.9,
1371,2014,Tay Ninh,1120.73,558.83,561.9,206.55,914.18,274.0,99.45,,1.76,14.3,
1372,2015,Tay Ninh,1129.9,563.6,566.3,206.9,923,276.0,99.5,,1.88,15.1,
1373,2016,Tay Ninh,1139.6,568.8,570.9,207.2,932.5,277.0,99.6,50.7,1.76,14,
1374,2017,Tay Ninh,1151.1,574.7,576.4,207.5,943.6,279.0,99.7,55.8,1.66,12.7,
1375,2018,Tay Ninh,1160.7,579.8,580.9,207.8,952.9,280.0,99.8,59.4,1.46,10.5,
1376,2019,Tay Ninh,1171.7,585.5,586.2,208.3,963.4,290.0,99.88,52.5,1.53,11.6,
1377,2020,Tay Ninh,1178.33,589.5,588.83,381.11,797.22,292.0,100.11,55.5,1.67,12.6,
1378,1995,Binh  Duong,639,309.3,329.7,111.9,527.1,,,,,,
1379,1996,Binh  Duong,658.5,318.7,339.8,129.4,529.1,,,,,,
1380,1997,Binh  Duong,679,328.6,350.4,188,491,,,,,,
1381,1998,Binh  Duong,700.1,338.9,361.2,211.5,488.6,,,,,,
1382,1999,Binh  Duong,720.8,348.7,372.1,241,479.8,,,,,,
1383,2000,Binh  Duong,779.4,376.9,402.5,236,543.4,,,,,,
1384,2001,Binh  Duong,845.5,408.8,436.7,256,589.5,,,,,,
1385,2002,Binh  Duong,910,440,470,275,635,,,,,,
1386,2003,Binh  Duong,973.1,461.8,511.3,293,680.1,,,,,,
1387,2004,Binh  Duong,1037.1,496.6,540.5,312.0,725.1,,,,,,
1388,2005,Binh  Duong,1109.3,527.0,582.3,333.8,775.5,,90.5,,1.66,17.3,
1389,2006,Binh  Duong,1203.7,576.0,627.7,361.7,842.0,,,,,,
1390,2007,Binh  Duong,1307.0,626.0,681.0,392.3,914.7,,91.9,,1.74,19.0,
1391,2008,Binh  Duong,1402.7,675,727.7,420.5,982.2,,92.8,,1.85,19.5,
1392,2009,Binh  Duong,1512.5,727.5,785,453,1059.5,,92.7,,1.7,23,
1393,2010,Binh  Duong,1618.13,781.86,836.27,535.92,1082.2,,93.49,,1.72,20.7,
1394,2011,Binh  Duong,1699.93,825.13,874.8,1096.63,603.31,615.76,94.32,,1.76,19.7,
1395,2012,Binh  Duong,1789.71,872.67,917.04,1152.93,636.78,642.44,95.16,,1.7,21.5,
1396,2013,Binh  Duong,1873.48,917.68,955.8,1205.02,668.46,668.98,96.01,,1.78,22.2,
1397,2014,Binh  Duong,1977.84,973.21,1004.63,1522.34,455.5,695.0,96.87,,1.44,18.5,
1398,2015,Binh  Duong,2069.2,1022.8,1046.4,1587.5,481.7,723.0,97.7,,1.59,18.6,
1399,2016,Binh  Duong,2138.8,1062,1076.8,1632.3,506.5,741.0,98.6,32.5,1.61,18.3,
1400,2017,Binh  Duong,2227.2,1110.9,1116.2,1696.9,530.3,769.0,99.5,36.3,1.9,20.2,
1401,2018,Binh  Duong,2345.2,1175.2,1170,1875.7,469.5,803.0,100.4,37.0,1.53,15.2,
1402,2019,Binh  Duong,2456.3,1236.4,1219.9,1961.9,494.5,912.0,101.36,27.6,1.54,17.6,
1403,2020,Binh  Duong,2580.55,1321.72,1258.83,2178.17,402.38,958.0,105.0,26.5,1.63,18.47,
1404,1995,Dong Nai,1844.8,924,920.8,536.4,1308.4,,,,,,
1405,1996,Dong Nai,1882.2,942.3,939.9,547.9,1334.3,,,,,,
1406,1997,Dong Nai,1920,960.5,959.5,577,1343,,,,,,
1407,1998,Dong Nai,1959.3,979.7,979.6,593.9,1365.4,,,,,,
1408,1999,Dong Nai,1999.5,998.5,1001,613.7,1385.8,,,,,,
1409,2000,Dong Nai,2054.1,1025.3,1028.8,628,1426.1,,,,,,
1410,2001,Dong Nai,2093.7,1045,1048.7,646,1447.7,,,,,,
1411,2002,Dong Nai,2132.1,1064.2,1067.9,664,1468.1,,,,,,
1412,2003,Dong Nai,2176.1,1077.5,1098.6,684,1492.1,,,,,,
1413,2004,Dong Nai,2220.5,1101.4,1119.1,704.0,1516.5,,,,,,
1414,2005,Dong Nai,2263.8,1121.0,1142.8,724.8,1539.0,,98.1,,1.92,17.2,
1415,2006,Dong Nai,2314.9,1148.0,1166.9,748.2,1566.7,,,,,,
1416,2007,Dong Nai,2372.6,1177.0,1195.6,774.0,1598.6,,98.4,,1.91,15.9,
1417,2008,Dong Nai,2432.7,1209,1223.7,801.1,1631.6,,98.8,,1.83,15.2,
1418,2009,Dong Nai,2499.7,1238,1261.7,829.3,1670.4,,98.1,,2.07,19.8,
1419,2010,Dong Nai,2577.79,1278.32,1299.48,854.55,1723.25,,98.37,,2.09,18.8,
1420,2011,Dong Nai,2661.78,1321.67,1340.1,881.69,1780.09,446.95,98.62,,1.99,18,
1421,2012,Dong Nai,2719.05,1351.86,1367.19,899.94,1819.11,458.39,98.88,,1.8,16.2,
1422,2013,Dong Nai,2771.42,1379.68,1391.74,916.54,1854.88,469.38,99.13,,2.09,18.8,
1423,2014,Dong Nai,2831.29,1411.31,1419.98,935.6,1895.69,481.0,99.39,,1.75,16,
1424,2015,Dong Nai,2890,1442.4,1447.6,954.2,1935.8,492.0,99.6,,2.02,17.7,
1425,2016,Dong Nai,2951.4,1475,1476.4,973.7,1977.6,505.0,99.9,40.5,1.67,14.7,
1426,2017,Dong Nai,3004.9,1503.7,1501.2,990.6,2014.3,516.0,100.2,45.9,1.61,13,
1427,2018,Dong Nai,3055.1,1530.8,1524.3,1006.3,2048.7,526.0,100.4,51.5,1.8,14.8,
1428,2019,Dong Nai,3113.7,1562.2,1551.5,1371.8,1742,531.0,100.68,38.0,1.9,17.1,
1429,2020,Dong Nai,3177.4,1613.11,1564.29,1406.73,1770.67,542.0,103.12,40.8,1.97,17.35,
1430,1995,Ba Ria - Vung Tau,708.9,354.8,354.1,246.5,462.4,,,,,,
1431,1996,Ba Ria - Vung Tau,730.4,365.8,364.6,271.9,458.5,,,,,,
1432,1997,Ba Ria - Vung Tau,752.7,376.9,375.8,284.9,467.8,,,,,,
1433,1998,Ba Ria - Vung Tau,775.6,388.1,387.5,295.1,480.5,,,,,,
1434,1999,Ba Ria - Vung Tau,805.1,402.8,402.3,337.8,467.3,,,,,,
1435,2000,Ba Ria - Vung Tau,829.9,415,414.9,353,476.9,,,,,,
1436,2001,Ba Ria - Vung Tau,858,429.1,428.9,371,487,,,,,,
1437,2002,Ba Ria - Vung Tau,880.8,440.5,440.3,388,492.8,,,,,,
1438,2003,Ba Ria - Vung Tau,899.1,449.8,449.3,403,496.1,,,,,,
1439,2004,Ba Ria - Vung Tau,918.9,460.6,458.3,419.0,499.9,,,,,,
1440,2005,Ba Ria - Vung Tau,938.8,470.0,468.8,435.7,503.1,,100.3,,2.06,18.5,
1441,2006,Ba Ria - Vung Tau,955.7,479.0,476.7,451.3,504.4,,,,,,
1442,2007,Ba Ria - Vung Tau,970.2,486.0,484.2,466.3,503.9,,100.4,,2.09,16.9,
1443,2008,Ba Ria - Vung Tau,983.6,493,490.6,481,502.6,,100.5,,2.13,17.1,
1444,2009,Ba Ria - Vung Tau,998.5,499.1,499.4,497.8,500.7,,99.9,,2.01,17.7,
1445,2010,Ba Ria - Vung Tau,1019.57,509.78,509.79,516.61,502.96,,100.0,,1.88,15.6,
1446,2011,Ba Ria - Vung Tau,1040.8,520.61,520.19,535.99,504.81,513.95,100.08,,1.82,15.2,
1447,2012,Ba Ria - Vung Tau,1057.84,529.35,528.49,553.68,504.17,519.23,100.16,,1.7,14.9,
1448,2013,Ba Ria - Vung Tau,1076.85,539.09,537.77,572.85,504.01,526.01,100.25,,1.92,16.2,
1449,2014,Ba Ria - Vung Tau,1093.37,547.58,545.79,591.15,502.23,533.0,100.33,,1.97,16.5,
1450,2015,Ba Ria - Vung Tau,1104.3,553.3,551,606.8,497.5,539.0,100.4,,1.56,12.5,
1451,2016,Ba Ria - Vung Tau,1117.6,560.2,557.4,624.2,493.4,551.0,100.5,43.5,1.52,12.1,
1452,2017,Ba Ria - Vung Tau,1127.2,565.3,562,639.8,487.4,556.0,100.6,44.8,1.37,10.5,
1453,2018,Ba Ria - Vung Tau,1138.3,571,567.3,656.7,481.6,562.0,100.7,51.6,1.51,11,
1454,2019,Ba Ria - Vung Tau,1152.2,578.2,574,675.6,476.6,582.0,100.74,42.9,1.87,14.8,
1455,2020,Ba Ria - Vung Tau,1167.94,578.97,588.97,672.31,495.63,590.0,98.3,45.3,1.94,15.75,
1456,1995,Ho Chi Minh city,4640.4,2226.2,2414.2,3466.1,1174.3,,,,,,
1457,1996,Ho Chi Minh city,4747.9,2280.6,2467.3,3547.9,1200,,,,,,
1458,1997,Ho Chi Minh city,4852.3,2339,2513.3,4028.8,823.5,,,,,,
1459,1998,Ho Chi Minh city,4957.3,2387.4,2569.9,4110.8,846.5,,,,,,
1460,1999,Ho Chi Minh city,5073.1,2443.3,2629.8,4244.9,828.2,,,,,,
1461,2000,Ho Chi Minh city,5274.9,2540.3,2734.6,4375.5,899.4,,,,,,
1462,2001,Ho Chi Minh city,5454,2628.9,2825.1,4477.6,976.4,,,,,,
1463,2002,Ho Chi Minh city,5619.4,2710,2909.4,4557.4,1062,,,,,,
1464,2003,Ho Chi Minh city,5809.1,2802.5,3006.6,4674.1,1135,,,,,,
1465,2004,Ho Chi Minh city,6007.6,2894.0,3113.6,4894.7,1112.9,,,,,,
1466,2005,Ho Chi Minh city,6230.9,3012.2,3218.7,5144.5,1086.4,,93.6,,1.52,15.9,
1467,2006,Ho Chi Minh city,6483.1,3140.8,3342.3,5409.7,1073.4,,,,,,
1468,2007,Ho Chi Minh city,6725.3,3254.0,3471.3,5620.8,1104.5,,93.7,,1.49,15.3,
1469,2008,Ho Chi Minh city,6946.1,3353.9,3592.2,5815.8,1130.3,,93.4,,1.63,15.8,
1470,2009,Ho Chi Minh city,7196.1,3455.3,3740.8,6020.8,1175.3,,92.4,,1.45,15.8,
1471,2010,Ho Chi Minh city,7401.78,3559.78,3842,6159.37,1242.41,,92.65,,1.45,15.1,
1472,2011,Ho Chi Minh city,7613.43,3666.98,3946.45,6301.07,1312.36,3578.16,92.92,,1.3,13.1,
1473,2012,Ho Chi Minh city,7789.87,3757.5,4032.37,6412.07,1377.8,3655.42,93.18,,1.33,13.2,
1474,2013,Ho Chi Minh city,7974.02,3852.01,4122.01,6527.99,1446.03,3731.63,93.45,,1.68,16.4,
1475,2014,Ho Chi Minh city,8135.91,3936.03,4199.89,6624.34,1511.58,3809.0,93.72,,1.39,14,
1476,2015,Ho Chi Minh city,8307.9,4025.2,4282.7,6727.6,1580.3,3888.0,94.0,,1.45,13.7,
1477,2016,Ho Chi Minh city,8479.1,4114.2,4364.9,6829,1650.2,4025.0,94.3,50.9,1.24,11.8,
1478,2017,Ho Chi Minh city,8649.6,4203.1,4446.5,6928.5,1721.2,4097.0,94.5,54.9,1.36,12.1,
1479,2018,Ho Chi Minh city,8843.2,4303.6,4539.7,7045.1,1798.2,4171.0,94.8,58.8,1.33,11.8,
1480,2019,Ho Chi Minh city,9038.6,4405.1,4633.4,7161.5,1877,4385.0,95.07,49.4,1.39,14.1,
1481,2020,Ho Chi Minh city,9227.6,4493.84,4733.76,7391.3,1836.29,4476.0,94.93,55.7,1.53,14.48,
1482,1995,Mekong River Delta,15531.9,7574.5,7957.4,2436.5,13095.4,,,,,,
1483,1996,Mekong River Delta,15693.5,7666,8027.5,2488.5,13205,,,,,,
1484,1997,Mekong River Delta,15858.8,7757.3,8101.5,2613.8,13245,,,,,,
1485,1998,Mekong River Delta,16023.5,7850.4,8173.1,2693.7,13329.8,,,,,,
1486,1999,Mekong River Delta,16184.2,7929,8255.2,2775.4,13408.8,,,,,,
1487,2000,Mekong River Delta,16296.6,7982.3,8314.3,2853.2,13443.4,,,,,,
1488,2001,Mekong River Delta,16420.3,8043.2,8377.1,2962,13458.3,,,,,,
1489,2002,Mekong River Delta,16533.2,8098.6,8434.6,3027.2,13506,,,,,,
1490,2003,Mekong River Delta,16639.7,8152.9,8486.8,3297.3,13342.4,,,,,,
1491,2004,Mekong River Delta,16754.1,8208.7,8545.4,3372.6,13381.5,,,,,,
1492,2005,Mekong River Delta,16859.3,8256.5,8602.8,3443.1,13416.2,,96.0,,2,18.1,73.4
1493,2006,Mekong River Delta,16946.9,8302.6,8644.3,3520.8,13426.1,,,,,,
1494,2007,Mekong River Delta,17042.0,8359.3,8682.7,3590.8,13451.2,,96.3,,1.87,16.3,
1495,2008,Mekong River Delta,17129.5,8464.9,8664.6,3689.1,13440.4,,97.7,,1.87,15.9,
1496,2009,Mekong River Delta,17199.9,8546.6,8653.3,3942.8,13257.1,,98.8,,1.84,16,73.8
1497,2010,Mekong River Delta,17208.41,8554.49,8653.92,4004.09,13204.32,,98.85,,1.8,15.2,74.1
1498,2011,Mekong River Delta,17217.72,8560.37,8657.34,4090.05,13127.66,426.82,98.88,,1.8,14.7,74.3
1499,2012,Mekong River Delta,17252.6,8575.62,8676.98,4128,13124.6,428.56,98.83,,1.92,15.7,74.4
1500,2013,Mekong River Delta,17269.94,8585.92,8684.01,4161.11,13108.83,430.07,98.87,,1.92,15.3,74.4
1501,2014,Mekong River Delta,17269.81,8586.83,8682.98,4201.18,13068.63,432.0,98.89,,1.84,14.6,74.6
1502,2015,Mekong River Delta,17266.7,8586.5,8680.2,4224.9,13041.9,434.0,98.9,,1.76,12.9,74.7
1503,2016,Mekong River Delta,17271.6,8590.1,8681.5,4252,13019.6,433.0,98.9,,1.84,13.2,74.7
1504,2017,Mekong River Delta,17279.5,8595.1,8684.3,4279.9,12999.7,435.0,99.0,,1.74,11.9,74.8
1505,2018,Mekong River Delta,17280.7,8597.1,8683.5,4307.3,12973.4,436.0,99.0,,1.74,11.6,74.9
1506,2019,Mekong River Delta,17282.5,8599.6,8682.9,4357.7,12924.8,423.0,99.04,,1.8,12.7,75.0
1507,2020,Mekong River Delta,17318.55,8620.9,8697.65,4479.21,12839.34,424.0,99.12,,1.82,12.79,74.9
1508,1995,Long An,1250.8,609.1,641.7,179.1,1071.7,,,,,,
1509,1996,Long An,1265.1,617.3,647.8,185.1,1080,,,,,,
1510,1997,Long An,1279.9,625.7,654.2,194.7,1085.2,,,,,,
1511,1998,Long An,1294.8,634.4,660.4,208.6,1086.2,,,,,,
1512,1999,Long An,1311.1,642.8,668.3,217.5,1093.6,,,,,,
1513,2000,Long An,1327.1,650.4,676.7,217.1,1110,,,,,,
1514,2001,Long An,1343.1,658.2,684.9,221.4,1121.7,,,,,,
1515,2002,Long An,1356.5,664.8,691.7,225.2,1131.3,,,,,,
1516,2003,Long An,1369,671.2,697.8,229,1140,,,,,,
1517,2004,Long An,1382.2,679.6,702.6,233.0,1149.2,,,,,,
1518,2005,Long An,1393.4,683.8,709.6,236.6,1156.8,,96.4,,1.95,17.3,
1519,2006,Long An,1405.2,690.9,714.3,240.4,1164.8,,,,,,
1520,2007,Long An,1417.9,704.6,713.3,244.4,1173.5,,98.8,,1.91,16.0,
1521,2008,Long An,1428.2,709.5,718.7,248,1180.2,,98.7,,1.95,16.1,
1522,2009,Long An,1436.3,713.3,723,251.3,1185,,98.7,,1.85,15.8,
1523,2010,Long An,1469.24,729.96,739.28,254.88,1214.36,,98.74,,1.87,14.9,
1524,2011,Long An,1504.08,747.6,756.48,258.73,1245.35,322.75,98.82,,1.83,14.8,
1525,2012,Long An,1549.76,770.64,779.12,264.35,1285.41,325.06,98.91,,2.02,16.8,
1526,2013,Long An,1587.85,789.92,797.93,268.57,1319.28,327.23,99.0,,2.03,16.4,
1527,2014,Long An,1611.7,802.14,809.56,270.31,1341.39,329.0,99.08,,1.66,13.8,
1528,2015,Long An,1626.2,809.7,816.5,270.5,1355.8,330.0,99.2,,1.61,12.3,
1529,2016,Long An,1645.2,819.5,825.7,271.3,1373.9,332.0,99.3,56.5,1.56,11.4,
1530,2017,Long An,1662.3,828.4,833.9,271.8,1390.5,333.0,99.3,62.0,1.62,11.8,
1531,2018,Long An,1678.9,837.1,841.9,272.2,1406.7,334.0,99.4,64.8,1.83,12.1,
1532,2019,Long An,1695.1,845.5,849.6,272.5,1422.6,377.0,99.52,57.7,1.8,13.9,
1533,2020,Long An,1713.66,855.46,858.2,312.52,1401.13,381.0,99.68,58.5,1.82,14.08,
1534,1995,Tien Giang,1581.5,762.9,818.6,200.9,1380.6,,,,,,
1535,1996,Tien Giang,1587.4,766.8,820.6,202.8,1384.6,,,,,,
1536,1997,Tien Giang,1593.6,770.7,822.9,208.5,1385.1,,,,,,
1537,1998,Tien Giang,1600,775,825,210.4,1389.6,,,,,,
1538,1999,Tien Giang,1608.4,779.1,829.3,214.7,1393.7,,,,,,
1539,2000,Tien Giang,1613.5,781.2,832.3,211.7,1401.8,,,,,,
1540,2001,Tien Giang,1620.1,784.4,835.7,213.7,1406.4,,,,,,
1541,2002,Tien Giang,1626.7,787.6,839.1,215.7,1411,,,,,,
1542,2003,Tien Giang,1634,791.7,842.3,217.8,1416.2,,,,,,
1543,2004,Tien Giang,1642.7,797.5,845.2,220.2,1422.5,,,,,,
1544,2005,Tien Giang,1650.1,799.6,850.5,222.3,1427.8,,94.0,,2.02,17.3,
1545,2006,Tien Giang,1655.3,803.6,851.7,224.2,1431.1,,,,,,
1546,2007,Tien Giang,1661.6,806.6,855.0,226.3,1435.3,,94.3,,1.98,15.7,
1547,2008,Tien Giang,1668,814.7,853.3,228.4,1439.6,,95.5,,1.97,15.5,
1548,2009,Tien Giang,1672.8,820.7,852.1,229,1443.8,,96.3,,1.94,15.6,
1549,2010,Tien Giang,1677.99,825.88,852.1,229.88,1448.1,,96.92,,1.93,14.7,
1550,2011,Tien Giang,1682.6,828.23,854.37,230.52,1452.09,670.81,96.94,,1.92,14.2,
1551,2012,Tien Giang,1692.46,829.81,862.65,231.87,1460.59,674.76,96.19,,1.79,14.3,
1552,2013,Tien Giang,1705.77,836.87,868.9,233.69,1472.08,679.02,96.31,,1.78,13.6,
1553,2014,Tien Giang,1716.09,841.71,874.38,240.25,1475.83,684.0,96.26,,1.75,13.1,
1554,2015,Tien Giang,1728.7,847.9,880.8,242,1486.7,689.0,96.3,,1.62,11.8,
